"","EVENT_DATE","COUNTRY","number"
"409",1999-02-28,"Sierra Leone",14
"410",1999-03-01,"Sierra Leone",37
"411",1999-03-07,"Sierra Leone",6
"412",1999-03-09,"Sierra Leone",1
"413",1999-03-11,"Sierra Leone",2
"414",1999-03-12,"Sierra Leone",1
"415",1999-03-14,"Sierra Leone",6
"416",1999-03-15,"Sierra Leone",53
"417",1999-03-16,"Sierra Leone",3
"418",1999-03-21,"Sierra Leone",6
"419",1999-03-22,"Sierra Leone",7
"420",1999-03-24,"Sierra Leone",1
"421",1999-03-25,"Sierra Leone",2
"422",1999-03-30,"Sierra Leone",1
"423",1999-03-31,"Sierra Leone",27
"424",1999-04-01,"Sierra Leone",11
"425",1999-04-05,"Sierra Leone",1
"426",1999-04-06,"Sierra Leone",4
"427",1999-04-07,"Sierra Leone",1
"428",1999-04-08,"Sierra Leone",1
"429",1999-04-09,"Sierra Leone",1
"430",1999-04-12,"Sierra Leone",1
"431",1999-04-13,"Sierra Leone",2
"432",1999-04-14,"Sierra Leone",1
"433",1999-04-15,"Sierra Leone",38
"434",1999-04-16,"Sierra Leone",2
"435",1999-04-17,"Sierra Leone",2
"436",1999-04-18,"Sierra Leone",3
"437",1999-04-19,"Sierra Leone",1
"438",1999-04-22,"Sierra Leone",1
"439",1999-04-23,"Sierra Leone",2
"440",1999-04-25,"Sierra Leone",1
"441",1999-04-28,"Sierra Leone",1
"442",1999-04-29,"Sierra Leone",1
"443",1999-04-30,"Sierra Leone",13
"444",1999-05-01,"Sierra Leone",10
"445",1999-05-07,"Sierra Leone",5
"446",1999-05-11,"Sierra Leone",1
"447",1999-05-13,"Sierra Leone",1
"448",1999-05-14,"Sierra Leone",1
"449",1999-05-15,"Sierra Leone",43
"450",1999-05-16,"Sierra Leone",6
"451",1999-05-17,"Sierra Leone",1
"452",1999-05-21,"Sierra Leone",1
"453",1999-05-24,"Sierra Leone",1
"454",1999-05-31,"Sierra Leone",9
"455",1999-06-01,"Sierra Leone",12
"456",1999-06-07,"Sierra Leone",1
"457",1999-06-09,"Sierra Leone",1
"458",1999-06-11,"Sierra Leone",2
"459",1999-06-14,"Sierra Leone",1
"460",1999-06-15,"Sierra Leone",50
"461",1999-06-20,"Sierra Leone",3
"462",1999-06-21,"Sierra Leone",1
"463",1999-06-30,"Sierra Leone",8
"464",1999-07-01,"Sierra Leone",6
"465",1999-07-05,"Sierra Leone",1
"466",1999-07-07,"Sierra Leone",1
"467",1999-07-08,"Sierra Leone",2
"468",1999-07-14,"Sierra Leone",1
