"","EVENT_DATE","COUNTRY","number"
"354",2004-11-09,"Ivory Coast",5
"355",2004-11-10,"Ivory Coast",2
"356",2004-12-23,"Ivory Coast",5
"357",2005-02-03,"Ivory Coast",1
"358",2005-02-15,"Ivory Coast",1
"359",2005-02-24,"Ivory Coast",1
"360",2005-02-25,"Ivory Coast",1
"361",2005-02-28,"Ivory Coast",1
"362",2005-03-10,"Ivory Coast",1
"363",2005-03-11,"Ivory Coast",1
"364",2005-03-19,"Ivory Coast",2
"365",2005-04-10,"Ivory Coast",1
"366",2005-04-21,"Ivory Coast",1
"367",2005-04-24,"Ivory Coast",1
"368",2005-04-25,"Ivory Coast",1
"369",2005-04-26,"Ivory Coast",1
"370",2005-04-29,"Ivory Coast",2
"371",2005-04-30,"Ivory Coast",1
"372",2005-05-01,"Ivory Coast",1
"373",2005-05-13,"Ivory Coast",1
"374",2005-05-26,"Ivory Coast",1
"375",2005-05-28,"Ivory Coast",1
"376",2005-06-01,"Ivory Coast",2
"377",2005-06-02,"Ivory Coast",1
"378",2005-06-03,"Ivory Coast",1
"379",2005-06-05,"Ivory Coast",1
"380",2005-06-06,"Ivory Coast",1
"381",2005-06-29,"Ivory Coast",1
"382",2005-07-23,"Ivory Coast",2
"383",2005-07-24,"Ivory Coast",2
"384",2005-07-26,"Ivory Coast",1
"385",2005-07-30,"Ivory Coast",1
"386",2005-08-11,"Ivory Coast",1
"387",2005-08-20,"Ivory Coast",1
"388",2005-08-31,"Ivory Coast",1
"389",2005-09-06,"Ivory Coast",1
"390",2005-09-19,"Ivory Coast",1
"391",2005-10-30,"Ivory Coast",3
"392",2005-12-01,"Ivory Coast",1
"393",2005-12-15,"Ivory Coast",1
"394",2005-12-28,"Ivory Coast",1
"395",2006-01-02,"Ivory Coast",2
"396",2006-01-06,"Ivory Coast",1
"397",2006-01-16,"Ivory Coast",1
"398",2006-01-17,"Ivory Coast",2
"399",2006-01-18,"Ivory Coast",2
"400",2006-02-05,"Ivory Coast",1
"401",2006-02-12,"Ivory Coast",2
"402",2006-04-28,"Ivory Coast",1
"403",2006-06-24,"Ivory Coast",1
"404",2006-06-28,"Ivory Coast",1
"405",2006-07-19,"Ivory Coast",1
"406",2006-07-23,"Ivory Coast",1
"407",2006-07-25,"Ivory Coast",2
"408",2006-11-01,"Ivory Coast",1
"409",2006-11-03,"Ivory Coast",1
"410",2006-11-30,"Ivory Coast",4
"411",2006-12-05,"Ivory Coast",6
"412",2007-01-12,"Ivory Coast",1
"413",2007-06-29,"Ivory Coast",1
"414",2007-10-21,"Ivory Coast",1
"415",2007-11-08,"Ivory Coast",1
"416",2007-12-18,"Ivory Coast",1
"417",2007-12-27,"Ivory Coast",1
"418",2008-03-24,"Ivory Coast",1
"419",2008-04-01,"Ivory Coast",1
"420",2008-05-18,"Ivory Coast",1
"421",2008-06-18,"Ivory Coast",1
"422",2008-06-28,"Ivory Coast",2
"423",2008-06-29,"Ivory Coast",2
"424",2008-06-30,"Ivory Coast",2
"425",2008-08-18,"Ivory Coast",1
"426",2008-08-20,"Ivory Coast",1
"427",2008-08-21,"Ivory Coast",1
"428",2008-09-05,"Ivory Coast",1
"429",2008-09-26,"Ivory Coast",4
"430",2008-10-03,"Ivory Coast",1
"431",2008-10-10,"Ivory Coast",1
"432",2008-10-18,"Ivory Coast",1
"433",2008-11-20,"Ivory Coast",1
"434",2008-11-24,"Ivory Coast",1
"435",2008-12-12,"Ivory Coast",1
"436",2009-02-02,"Ivory Coast",1
"437",2009-06-02,"Ivory Coast",1
"438",2009-07-15,"Ivory Coast",2
"439",2009-08-25,"Ivory Coast",1
"440",2010-01-13,"Ivory Coast",4
"441",2010-01-18,"Ivory Coast",1
"442",2010-01-26,"Ivory Coast",1
"443",2010-02-02,"Ivory Coast",2
"444",2010-02-03,"Ivory Coast",2
"445",2010-02-05,"Ivory Coast",1
"446",2010-02-09,"Ivory Coast",2
"447",2010-02-14,"Ivory Coast",1
"448",2010-02-15,"Ivory Coast",6
